"dataset_id","x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
171,-1.67154700885638,-1.08286630633518,-0.287947575073005,-0.555620690509392,-0.374756808018764,0.000131531790686425,0.998223359087315,12,2,0.418193866248269,-0.4547,0.08720209,0,1,2.75040034113007,0.891099298600313,31622,2,0.375
171,-1.08286630633518,-0.8,-0.555145913289821,-0.62838,-0.339717341301431,2.40571205378216e-06,0.999180639710595,6,3,0.085376578715984,-0.2589,0.24117921,0,0.20415550204483,3.08652508811334,1,31622,2,0.375
172,-1.5,-1.21657981656051,-0.524245,-0.533079207117809,-0.504275814280263,3.40929658096125e-08,0.999198430025995,6,1,0.080405043596272,-0.03117,0.5167165689,0,0.45016296731216,3.09605855940117,1,5000,1,0.375
172,-1.21657981656051,-0.8,-0.533064851368152,-0.6043,-0.484323028645374,2.96492140856917e-05,0.993283334690173,9,2,0.178613189966193,-0.171,0.335241,0,1,2.17284629197472,0.701810463299178,5000,1,0.375
172,-1.5,-1.18039108491492,-0.52417,-0.534531721027058,-0.445279334990314,2.97967246157758e-07,0.99602796969475,7,1,0.102257223864502,-0.03242,0.5149210564,0,1,2.40098744664375,0,5000,2,0.375
172,-1.18039108491492,-1.0770179527379,-0.534453206483556,-0.56003805669737,-0.731765676725468,0,1,2,2,0.0113405890165514,-0.2475,0.25250625,1,0.110902570869502,Inf,NA,5000,2,0.375
172,-1.0770179527379,-0.8,-0.55999314784528,-0.60246,-0.467345907517801,2.60038236528467e-06,0.997418136399332,6,3,0.0785423796710289,-0.1533,0.35605089,0,0.768086367913754,2.58806670515319,0,5000,2,0.375
173,-1.15,-0.921455278041515,-0.4555805,-0.47567643740181,-0.511728701291781,9.71321957189483e-06,0.952194957864147,5,1,0.0526365366351386,-0.08793,0.0262666849,0,1,1.32052629467882,0.367984923820085,10000,1,0.125
173,-0.921455278041515,-0.8,-0.475686741328493,-0.5035,-0.441510961590537,6.77065491605746e-08,0.999742091108377,3,2,0.0155249619220698,-0.229,0.000441,0,0.294946493719456,3.58853368494099,1,10000,1,0.125
173,-1.15,-1.09195197952437,-0.4574705,-0.458360376153891,-0.285532340239111,0,1,2,1,0.00337036456070788,-0.01533,0.0550700089,0,0.0961363374558985,Inf,NA,10000,2,0.125
